Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0805,3,10uF 0805,
C2,1206,1,22uF 1206,
"C3, C6",0402,2,100nF 0402,
C7,0805,1,4.7uF 0805,
"D1, D2, D3",0603,3,LED 0603 White,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C53207138
J2,Tropic01_PinSocket,1,Conn_01x08_Socket,
J3,PinSocket_1x07_P2.54mm_Horizontal,1,Conn_01x07_Pin,C2897389
"R1, R2, R3, R4, R5, R6",0402,6,5.1kΩ 0402,
R7,0402,1,10kΩ 0402,
S1,XDCR_PEC11R-4220F-S0024,1,PEC11R-4220F-S0024,
"SW2, SW3",SW_SPST_B3U-1000P,2,SW_SPST,C720477
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U2,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,C6186
